Name,URL,Description
"RAG vs Fine-tuning: Pipelines, Tradeoffs, and a Case Study on Agriculture",http://arxiv.org/abs/2401.08406v1,"This paper discusses the pros and cons of two common approaches for incorporating proprietary and domain-specific data when building applications of Large Language Models (LLMs): Retrieval-Augmented Generation (RAG) and Fine-Tuning. The authors propose a pipeline for fine-tuning and RAG, and present the tradeoffs for multiple popular LLMs. The paper focuses on a case study in the agricultural industry, demonstrating the effectiveness of the dataset generation pipeline and the benefits of RAG and fine-tuning in providing location-specific insights to farmers."
Hidden Flaws Behind Expert-Level Accuracy of GPT-4 Vision in Medicine,http://arxiv.org/abs/2401.08396v1,"This paper titled 'Hidden Flaws Behind Expert-Level Accuracy of GPT-4 Vision in Medicine' discusses the evaluation of Generative Pre-trained Transformer 4 with Vision (GPT-4V) in medical challenge tasks. The paper extends the previous evaluations by conducting a comprehensive analysis of GPT-4V's rationales of image comprehension, recall of medical knowledge, and step-by-step multimodal reasoning when solving New England Journal of Medicine (NEJM) Image Challenges. The evaluation results show that GPT-4V outperforms human physicians in multi-choice accuracy and also performs well in cases where physicians incorrectly answer. However, the paper highlights the occurrence of flawed rationales by GPT-4V in cases where it makes the correct final choices. The findings emphasize the need for further evaluations of GPT-4V's rationales before integrating such models into clinical workflows."
DoraemonGPT: Toward Understanding Dynamic Scenes with Large Language Models,http://arxiv.org/abs/2401.08392v1,"The paper discusses DoraemonGPT, a system driven by large language models (LLMs) to handle dynamic video tasks. It focuses on understanding the dynamic nature of real-world scenarios by converting videos into a symbolic memory and using sub-task tools for spatial-temporal querying and reasoning. The paper also incorporates plug-and-play tools to assess external knowledge and introduces a novel LLM-driven planner for efficiently exploring the planning space. The system, DoraemonGPT, is evaluated and demonstrated to handle more complex questions in dynamic scenes."
Salute the Classic: Revisiting Challenges of Machine Translation in the Age of Large Language Models,http://arxiv.org/abs/2401.08350v1,"This paper discusses the challenges of machine translation in the context of advanced Large Language Models (LLMs). It revisits the six core challenges that have influenced Neural Machine Translation (NMT) progress and explores their ongoing relevance. The paper presents empirical findings that indicate LLMs effectively lessen the reliance on parallel data and enhance the translation of long sentences. However, challenges related to domain mismatch and rare word prediction still persist. The authors also identify three new challenges for LLMs in translation tasks. The paper provides datasets and models that are released at the given URL."
RoTBench: A Multi-Level Benchmark for Evaluating the Robustness of Large Language Models in Tool Learning,http://arxiv.org/abs/2401.08326v1,"The paper introduces RoTBench, a multi-level benchmark for evaluating the robustness of Large Language Models (LLMs) in tool learning. It discusses the current research gap in understanding LLMs' stability when faced with real-world noise and proposes RoTTuning, a strategy to enhance the robustness of LLMs in tool learning."
Application of LLM Agents in Recruitment: A Novel Framework for Resume Screening,http://arxiv.org/abs/2401.08315v1,"This paper introduces a novel LLM-based agent framework for resume screening, aimed at enhancing efficiency and time management in recruitment processes. It utilizes LLM agents for decision-making, determining which candidates receive job offers or interviews. The results demonstrate that the automated resume screening framework is significantly faster than traditional methods and achieves improved performance in resume sentence classification and summarization compared to baseline models."
Anchor function: a type of benchmark functions for studying language models,http://arxiv.org/abs/2401.08309v1,"The paper proposes the concept of an anchor function, which is a benchmark function designed for studying language models. It demonstrates the utility of the anchor function with an example, revealing two basic operations by attention structures in language models: shifting tokens and broadcasting one token from one position to many positions. The anchor function framework opens up valuable research questions for further exploration in large language models."
DAPT: A Dual Attention Framework for Parameter-Efficient Continual Learning of Large Language Models,http://arxiv.org/abs/2401.08295v1,"The paper proposes a novel Dual Attention Framework called DAPT for parameter-efficient continual learning of large language models. It addresses the challenges of catastrophic forgetting and knowledge transfer by aligning the PET learning and selection modules. The paper demonstrates the superiority of DAPT in resisting catastrophic forgetting and facilitating knowledge transfer through extensive experiments on two continual learning benchmarks. Furthermore, DAPT exhibits scalability to different model sizes and unseen tasks."
Inferflow: an Efficient and Highly Configurable Inference Engine for Large Language Models,http://arxiv.org/abs/2401.08294v1,"The paper presents Inferflow, an efficient and highly configurable inference engine for large language models (LLMs). It allows users to serve most common transformer models by modifying configuration files, without writing source code. Inferflow implements a modular framework and introduces 3.5-bit quantization and hybrid model partitioning for multi-GPU inference. The paper is a technical report of Inferflow."
AesBench: An Expert Benchmark for Multimodal Large Language Models on Image Aesthetics Perception,http://arxiv.org/abs/2401.08276v1,"This paper proposes AesBench, an expert benchmark to evaluate the aesthetic perception capacities of multimodal large language models (MLLMs) on image aesthetics perception. It introduces an Expert-labeled Aesthetics Perception Database (EAPD) and a set of integrative criteria to measure the aesthetic perception abilities of MLLMs. The experimental results show that current MLLMs only possess rudimentary aesthetic perception ability."
Large Language Models are Null-Shot Learners,http://arxiv.org/abs/2401.08273v1,"This paper presents null-shot prompting. Null-shot prompting exploits hallucination in large language models (LLMs) by instructing LLMs to utilize information from the 'Examples' section that never exists within the provided context to perform a task. While reducing hallucination is crucial and non-negligible for daily and critical uses of LLMs, we propose that in the current landscape in which these LLMs still hallucinate, it is possible, in fact, to exploit hallucination to increase performance in performing tasks compared to standard zero-shot prompting. Experiments with six LLMs show improvements in performance across the majority of eight datasets, including reading comprehension, arithmetic reasoning, and closed-book question answering. The observed inconsistency in increased relative performance across LLMs also potentially indicate a different degree of inherent hallucination in each model. These differences show that it is possible to utilize null-shot prompting as a way to detect degrees of hallucination in LLMs using existing benchmarking datasets. We also perform ablation studies, including experimenting with a modified version of null-shot prompting that incorporates ideas from zero-shot chain-of-thought prompting, which shows different trends of results."
Generative Multi-Modal Knowledge Retrieval with Large Language Models,http://arxiv.org/abs/2401.08206v1,"This paper proposes an innovative end-to-end generative framework for multi-modal knowledge retrieval, taking advantage of large language models (LLMs) to effectively serve as virtual knowledge bases. The paper introduces an object-aware prefix-tuning technique to guide multi-grained visual learning and aligns multi-grained visual features into the textual feature space of the LLM. It also constructs instruction data with a unified format for model training and proposes a knowledge-guided generation strategy to impose prior constraints in the decoding steps. The experiments conducted on three benchmarks show significant improvements compared to strong baselines."
MARIO: MAth Reasoning with code Interpreter Output -- A Reproducible Pipeline,http://arxiv.org/abs/2401.08190v1,"The paper discusses the challenges in modeling mathematical reasoning using large language models (LLMs) and proposes a novel math dataset enriched with a Python code interpreter. It also introduces a fine-tuning protocol for math-specific LLMs, which has shown significant improvement in performance. The authors have made the model checkpoints and dataset publicly available."
